scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,100,8,800,1,nonprivate,direct_high,400,0.001130718762,0.003248468123,0.06489795096,0.002299557254,0.06489795096,0.002299557255,0,0.06496936247,0.06486403156,0.9983787603,0.9625,0.009499177596,0.9390561576,0.9771449702,0.2574086219,0.2574086219
linear,100,8,800,1,nonprivate,direct_low,400,0.001316964731,0.002755852179,0.05506385536,0.002101758772,0.05506385536,0.002101758772,0,0.05511704358,0.05657933923,1.026530735,0.9425,0.01163977556,0.9151991623,0.9613824572,0.224531368,0.224531368
linear,100,8,800,1,nonprivate,spillover_control,400,-0.004582707214,0.004335385556,0.086720429,0.003041401422,0.08672042901,0.003041401423,0,0.08670771113,0.0881778573,1.016955195,0.95,0.01089724736,0.9240363649,0.9674025702,0.3499279984,0.3499279984
linear,100,8,800,1,nonprivate,spillover_treated,400,-0.004768953183,0.00579906711,0.1159344016,0.004109346733,0.1159344016,0.004109346733,0,0.1159813422,0.1214986079,1.047570286,0.96,0.009797958971,0.9360177523,0.9752309369,0.4821591946,0.4821591946
linear,100,8,800,1,one_bit,direct_high,400,0.005385663591,0.006793251458,0.1358019266,0.00479046021,0.1358019266,0.00479046021,0,0.1358650292,0.1492384828,1.098431905,0.9775,0.007415144975,0.9577973424,0.9881184165,0.5922430548,0.5922430548
linear,100,8,800,1,one_bit,direct_low,400,-0.01059243693,0.007520534064,0.1505955322,0.005241870178,0.1505955322,0.005241870178,0,0.1504106813,0.1455605113,0.9677538192,0.935,0.01232629304,0.9064647858,0.9552595181,0.5776472678,0.5776472678
linear,100,8,800,1,one_bit,spillover_control,400,-0.009401539667,0.007661621179,0.1533292671,0.005189064958,0.1533292671,0.005189064958,0,0.1532324236,0.1603601686,1.046515906,0.95,0.01089724736,0.9240363649,0.9674025702,0.6363787299,0.6363787299
linear,100,8,800,1,one_bit,spillover_treated,400,0.006576560856,0.008749224801,0.1748893252,0.00578811379,0.1748893252,0.00578811379,0,0.174984496,0.1807217614,1.032787278,0.9575,0.01008634597,0.9329979457,0.973298305,0.717182365,0.717182365
linear,100,8,800,2,laplace,direct_high,400,0.006406410904,0.005104400145,0.1021613799,0.003348480526,0.1021613799,0.003348480526,0,0.1020880029,0.1079957589,1.057869248,0.9625,0.009499177596,0.9390561576,0.9771449702,0.428574031,0.428574031
linear,100,8,800,2,laplace,direct_low,400,-0.001274492491,0.005033963342,0.1005614156,0.003552575241,0.1005614156,0.003552575241,0,0.1006792668,0.1039416542,1.032403765,0.945,0.01139901312,0.9181325522,0.9634015059,0.4124855843,0.4124855843
linear,100,8,800,2,laplace,spillover_control,400,-0.008914620136,0.005888050108,0.1179510702,0.003998888347,0.1179510702,0.003998888347,0,0.1177610022,0.1230639738,1.045031645,0.9425,0.01163977556,0.9151991623,0.9613824572,0.4883712459,0.4883712459
linear,100,8,800,2,laplace,spillover_treated,400,-0.001233716742,0.007355403486,0.1469292492,0.005001893234,0.1469292492,0.005001893234,0,0.1471080697,0.1498299303,1.018502456,0.955,0.01036520622,0.9299952708,0.9713485413,0.594590175,0.594590175
linear,100,8,800,2,naive_bit,direct_high,400,-0.0374296875,0.004438869282,0.09624293298,0.003329323716,0.09624293298,0.003329323716,0,0.08877738565,0.0879667375,0.990868754,0.935,0.01232629304,0.9064647858,0.9552595181,0.3490901834,0.3490901834
linear,100,8,800,2,naive_bit,direct_low,400,-0.0297734375,0.004039980128,0.0860157655,0.003085842008,0.0860157655,0.003085842008,0,0.08079960255,0.08439710819,1.044523804,0.9125,0.01412831819,0.8807392674,0.9364130898,0.3349243454,0.3349243454
linear,100,8,800,2,naive_bit,spillover_control,400,-0.0404609375,0.005562060734,0.1182402587,0.004194352169,0.1182402587,0.004194352169,0,0.1112412147,0.1114452189,1.001833891,0.9225,0.0133691576,0.892095046,0.9448670653,0.4422629851,0.4422629851
linear,100,8,800,2,naive_bit,spillover_treated,400,-0.0481171875,0.006550117536,0.1394057947,0.004626502849,0.1394057947,0.004626502849,0,0.1310023507,0.1342399335,1.024713929,0.9525,0.01063528914,0.9270084506,0.969382923,0.5327223032,0.5327223032
linear,100,8,800,2,nonprivate,direct_high,400,0.001130718762,0.003248468123,0.06489795096,0.002299557254,0.06489795096,0.002299557255,0,0.06496936247,0.06486403156,0.9983787603,0.9625,0.009499177596,0.9390561576,0.9771449702,0.2574086219,0.2574086219
